ISO2_CODE;ISO3_CODE;Country;Continent;Region;Year;Population;GDP per Capita;CO2
AF;AFG;Afghanistan;Asia;South Asia;1;0;0;0
AF;AFG;Afghanistan;Asia;South Asia;1000;0;0;0
AF;AFG;Afghanistan;Asia;South Asia;1500;0;0;0
AF;AFG;Afghanistan;Asia;South Asia;1600;0;0;0
AF;AFG;Afghanistan;Asia;South Asia;1700;0;0;0
AF;AFG;Afghanistan;Asia;South Asia;1820;3280000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1821;3280000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1822;3280000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1823;3280000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1824;3280000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1825;3280000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1826;3280000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1827;3280000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1828;3280000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1829;3280000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1830;3280000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1831;3280000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1832;3280000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1833;3280000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1834;3280000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1835;3280000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1836;3280000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1837;3280000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1838;3280000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1839;3280000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1840;3280000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1841;3280000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1842;3280000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1843;3280000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1844;3280000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1845;3280000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1846;3280000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1847;3280000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1848;3280000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1849;3280000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1850;3280000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1851;3280000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1852;3280000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1853;3280000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1854;3280000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1855;3280000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1856;3280000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1857;3280000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1858;3280000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1859;3280000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1860;3280000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1861;3280000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1862;3280000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1863;3280000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1864;3280000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1865;3280000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1866;3280000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1867;3280000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1868;3280000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1869;3280000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1870;4207000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1871;4207000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1872;4207000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1873;4207000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1874;4207000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1875;4207000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1876;4207000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1877;4207000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1878;4207000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1879;4207000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1880;4207000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1881;4207000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1882;4207000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1883;4207000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1884;4207000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1885;4207000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1886;4207000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1887;4207000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1888;4207000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1889;4207000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1890;4207000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1891;4207000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1892;4207000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1893;4207000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1894;4207000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1895;4207000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1896;4207000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1897;4207000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1898;4207000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1899;4207000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1900;4207000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1901;4207000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1902;4207000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1903;4207000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1904;4207000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1905;4207000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1906;4207000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1907;4207000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1908;4207000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1909;4207000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1910;4207000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1911;4207000;0;0
AF;AFG;Afghanistan;Asia;South Asia;1912;4207000;0;0
